,state,district,year,female_pct,age18_24_pct,age25_34_pct,median_age,unmarried_partner_pct,male_living_alone_pct,bachelors_deg_or_higher_pct,past_year_births_to_unmarried_women_pct,civilian_veteran_pct,live_same_house_past_year_pct,foreign_born_proportion_from_LatinAmerica,speak_other_language_at_home_pct,labor_force_unemployed_pct,public_transit_commuter_pct,no_health_insurance_pct,poverty_rate_pct,median_housing_value,median_household_income,food_stamp_benefits_pct,foreign_to_native_born_ratio
CA_48_2018,CA,48,2018,51.1,7.3,13.5,42.9,2.2,11.4,45.1,22.8,5.3,89.3,29.2,34.2,2.5,1.3,6.0,9.6,759800,89807,5.4,0.3082926776205938
CA_49_2018,CA,49,2018,48.9,10.0,11.8,39.5,2.1,9.1,45.9,29.5,8.4,83.7,50.8,27.3,2.8,2.0,6.4,7.6,701500,88314,4.3,0.22769378867600942
CA_50_2018,CA,50,2018,50.5,8.6,14.1,37.3,2.2,9.1,29.4,28.6,8.9,85.6,57.9,30.3,3.0,1.3,7.8,10.2,486600,77155,7.0,0.23449169683124635
CA_51_2018,CA,51,2018,48.7,11.6,16.6,32.5,2.2,9.5,14.8,34.1,6.0,86.9,80.8,69.4,6.0,5.6,11.4,19.9,347300,48043,18.6,0.48444456817644005
CA_52_2018,CA,52,2018,49.7,10.2,18.6,36.2,2.3,12.7,59.2,15.4,7.8,79.8,15.5,29.3,3.3,2.7,4.2,8.2,719900,95770,3.1,0.30672395405442643
CA_53_2018,CA,53,2018,50.9,10.4,18.8,35.2,2.5,13.1,38.6,20.6,9.1,83.0,43.6,37.5,4.0,3.3,7.1,13.2,523300,72479,7.7,0.2874923084598626
CO_01_2018,CO,1,2018,49.8,7.9,21.7,35.2,3.7,17.0,48.8,32.5,5.1,80.0,56.9,22.8,2.2,6.3,8.9,11.3,394400,67441,7.5,0.1573728736468662
CO_02_2018,CO,2,2018,49.5,13.3,14.0,38.1,2.5,12.4,56.4,26.4,7.3,80.3,30.4,10.4,2.8,3.0,5.8,10.7,436300,80019,4.7,0.07844813636118453
CO_03_2018,CO,3,2018,49.9,8.7,12.8,40.3,2.0,14.0,31.0,39.5,9.1,84.9,72.8,13.9,3.8,1.9,9.6,13.7,237500,52765,11.6,0.06706398585369049
CO_04_2018,CO,4,2018,49.4,8.4,13.2,37.1,1.8,10.1,36.0,22.3,7.6,83.6,59.3,17.1,2.7,1.2,6.5,8.8,341400,73735,7.8,0.09186337328922688
CO_05_2018,CO,5,2018,48.9,10.2,15.4,35.6,2.2,11.5,37.2,21.9,16.8,78.6,37.9,10.0,3.4,1.0,7.1,10.8,271900,64179,9.4,0.06624370118795696
CO_06_2018,CO,6,2018,50.2,8.2,14.7,36.5,2.0,9.9,43.1,22.7,7.5,83.4,37.8,24.1,2.8,4.3,7.0,7.5,383700,80606,6.1,0.18937464959820594
CO_07_2018,CO,7,2018,50.1,8.7,16.3,36.1,2.9,13.1,34.6,22.0,7.9,83.6,62.7,19.5,2.3,4.1,7.6,9.5,351600,70574,6.4,0.11880863879621129
CT_01_2018,CT,1,2018,51.5,9.4,12.6,40.6,2.9,13.6,37.2,37.3,5.6,87.6,43.3,22.8,4.1,3.5,4.4,10.9,238400,69766,14.4,0.19042544814217235
CT_02_2018,CT,2,2018,50.2,11.6,11.7,42.6,2.7,12.7,35.0,24.3,8.4,88.6,29.5,12.1,2.9,1.6,3.5,7.7,244400,73805,8.9,0.07719179264405107
